Place,Lat,Long,Nitrate_2020_mgL,Nitrate_2021_mgL,Nitrate_2022_mgL,Nitrate_2023_mgL,Nitrate_2024_mgL,Nitrate_2025_mgL,Source_Notes
Suri I (HQ: Suri),23.9035,87.5241,NA,NA,NA,NA,NA,NA,"No publicly available site-specific data for 2020-2025. Published range (2012-2013): 1.5-13.6 mg/L (Nag & Das 2014). CGWB monitoring station present."
Suri II (HQ: Karidhya),23.9250,87.5435,NA,NA,NA,NA,NA,NA,"No publicly available site-specific data for 2020-2025. Published range (2012-2013): 1.5-13.6 mg/L (Nag & Das 2014). CGWB monitoring station present."
Bolpur Sriniketan,23.6776,87.6792,NA,NA,NA,NA,NA,NA,"No published block-specific nitrate data for 2020-2025. Regional studies suggest <20 mg/L in most samples."
Nanoor,23.6588,87.8868,NA,NA,NA,NA,NA,NA,"No published block-specific nitrate data for 2020-2025. Regional studies suggest <20 mg/L in most samples."
Labpur,23.8235,87.7931,NA,NA,NA,NA,NA,NA,"No published block-specific nitrate data for 2020-2025. Regional studies suggest <20 mg/L in most samples."
Sainthia,23.9483,87.6805,NA,NA,NA,NA,NA,NA,"No published block-specific nitrate data for 2020-2025. Regional studies suggest <20 mg/L in most samples."
Mayureswar I,24.0619,87.9033,NA,NA,NA,NA,NA,NA,"No published block-specific nitrate data for 2020-2025. Regional studies suggest <20 mg/L in most samples."
Mayureswar II (HQ: Gadadharpur),24.0700,87.9017,NA,NA,NA,NA,NA,NA,"No published block-specific nitrate data for 2020-2025. Regional studies suggest <20 mg/L in most samples."
Rampurhat I,24.1729,87.7821,NA,NA,NA,NA,NA,NA,"No published block-specific nitrate data for 2020-2025. Older studies (2011-2013) report <20 mg/L in most samples. Identified as potential hotspot."
Rampurhat II (HQ: Nalhati),24.3009,87.8315,NA,NA,NA,NA,NA,NA,"No published block-specific nitrate data for 2020-2025."
Nalhati I,24.2905,87.8391,NA,NA,NA,NA,NA,NA,"No published block-specific nitrate data for 2020-2025."
Nalhati II (HQ: Murarai),24.3634,87.8503,NA,NA,NA,NA,NA,NA,"No published block-specific nitrate data for 2020-2025."
Murarai I,24.4048,87.8616,NA,NA,NA,NA,NA,NA,"No published block-specific nitrate data for 2020-2025."
Murarai II (HQ: Barla),24.4136,87.8892,NA,NA,NA,NA,NA,NA,"No published block-specific nitrate data for 2020-2025."
Dubrajpur,23.7883,87.3745,NA,NA,NA,NA,NA,NA,"No published block-specific nitrate data for 2020-2025. Older studies (2011-2013) report variable nitrate, mostly <20 mg/L."
Rajnagar,23.9546,87.3818,NA,NA,NA,NA,NA,NA,"No published block-specific nitrate data for 2020-2025."
Khayrasole,23.8500,87.5290,NA,NA,NA,NA,NA,NA,"No published block-specific nitrate data for 2020-2025. Mentioned in 2022-2023 studies as sampled location."
Md Bazar (Mohammad Bazar),23.9680,87.6540,NA,NA,NA,NA,NA,NA,"No published block-specific nitrate data for 2020-2025. Mentioned in 2022-2023 studies as sampled location."
Ilambazar,23.6120,87.5640,NA,NA,NA,NA,NA,NA,"No published block-specific nitrate data for 2020-2025."
